username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
bitcoin_dealer;2016/07/31;0;0;"♯„ PCI E Express 1X to 16X Riser Card +USB 3.0 1M Cable + power for bitcoin miner http://ebay.to/1MsGBwG pic.twitter.com/FpEAx7hffm";;;;"759901444031913984";https://twitter.com/bitcoin_dealer/status/759901444031913984
aidenjl193;2016/07/31;0;1;"@deckbound Using bitcoin transactions, so fucking cool";;@deckbound;;"759901412998250496";https://twitter.com/aidenjl193/status/759901412998250496
fuwakochallenge;2016/07/31;0;1;"Bitcoin Picks Up in Malaysia as Ringgit Falls - NEWSBTC http://www.newsbtc.com/2016/07/28/bitcoin-trade-incease-malaysia/ …";;;;"759901302646190080";https://twitter.com/fuwakochallenge/status/759901302646190080
bitcoin_dealer;2016/07/31;0;0;"❝Δ PCI-express 1x to 16x 16x-1x mining Extender Riser Card + Power + USB3.0 cable http://ebay.to/1MsGxNv pic.twitter.com/Gb1cXSYzZH";;;;"759901287701843969";https://twitter.com/bitcoin_dealer/status/759901287701843969
coindesk;2016/07/31;40;11;"The latest Bitcoin Price Index is 625.84 USD http://www.coindesk.com/price/ pic.twitter.com/qeCeh11Dvx";;;;"759901217849954305";https://twitter.com/coindesk/status/759901217849954305
MontrealApartm;2016/07/31;0;0;"Montreal Rental Apartments - Bitcoin Price In Medium-Term Decline - CryptoCoinsNews http://bit.ly/2ak47Cq ";;;;"759901211533258752";https://twitter.com/MontrealApartm/status/759901211533258752
