username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2013/03/26;22204;4493;"RT if you stand with the millions of Americans fighting for #MarriageEquality.pic.twitter.com/8KwFU1WFTN";;;#MarriageEquality;"316691136829865985";https://twitter.com/BarackObama/status/316691136829865985
;2013/03/26;403;256;"Join a call with @VP Biden tomorrow for the latest on efforts in Congress to reduce gun violence: http://OFA.BO/kZmceh  #TimeToAct";;@VP;#TimeToAct;"316680529929977856";https://twitter.com/BarackObama/status/316680529929977856
;2013/03/26;15579;5991;""Every single American deserves to be treated equally in the eyes of the law." #MarriageEquality,pic.twitter.com/z2sSpNJT91";;;#MarriageEquality;"316623079939899392";https://twitter.com/BarackObama/status/316623079939899392
;2013/03/26;51047;10629;"RT if you agree. #MarriageEquality,pic.twitter.com/6RIEFH1KPD";;;#MarriageEquality;"316583395280945152";https://twitter.com/BarackObama/status/316583395280945152
;2013/03/26;16514;7108;"#MarriageEquality for all:pic.twitter.com/hekOqEjRtH";;;#MarriageEquality;"316569413644075008";https://twitter.com/BarackObama/status/316569413644075008
;2013/03/25;2080;1326;"It makes us stronger:pic.twitter.com/nUz7nxm2SA";;;;"316322288637181953";https://twitter.com/BarackObama/status/316322288637181953
;2013/03/25;1065;524;"Chag sameach: "Michelle and I send our warmest wishes to all those celebrating Passover."http://OFA.BO/LB29Xw ";;;;"316306825370812418";https://twitter.com/BarackObama/status/316306825370812418
;2013/03/25;1500;396;"RT if you agree: Our immigration system has been broken for too long—and Congress needs to fix it now.pic.twitter.com/yLo1gu4qtC";;;;"316297702197567488";https://twitter.com/BarackObama/status/316297702197567488
;2013/03/25;2002;973;"Nearly all of us came from someplace else—and it's time to make sure others can do the same. #ImmigrationReform,pic.twitter.com/fywGJ0zFXH";;;#ImmigrationReform;"316284363258097664";https://twitter.com/BarackObama/status/316284363258097664
;2013/03/25;468;296;"" #ImmigrationReform will help millions of people who are struggling to support their families." —Cristina P. http://OFA.BO/eQhSCD ";;;#ImmigrationReform;"316275425062027264";https://twitter.com/BarackObama/status/316275425062027264
;2013/03/25;239;208;""He grew up here, went to school and graduated from here—even pays his taxes." —Krystle A. http://OFA.BO/FquqMg  #ImmigrationReform";;;#ImmigrationReform;"316269250354495488";https://twitter.com/BarackObama/status/316269250354495488
;2013/03/25;672;368;""We left our countries & traveled many miles with the desire of a better life & living the American Dream." —Beverley M. #ImmigrationReform";;;#ImmigrationReform;"316264505464205312";https://twitter.com/BarackObama/status/316264505464205312
;2013/03/25;761;358;""The dream became a possibility and the possibility became reality." —Tom K. http://OFA.BO/5gVvGi  #ImmigrationReform";;;#ImmigrationReform;"316257665200308224";https://twitter.com/BarackObama/status/316257665200308224
;2013/03/25;637;399;""We are a nation of opportunity, of immigrants, of hope." —Alexis R. http://OFA.BO/o7TZor ,pic.twitter.com/x1zz3pGp2v";;;;"316251918861230080";https://twitter.com/BarackObama/status/316251918861230080
;2013/03/25;580;431;"Share your family's immigration story and say why we need #ImmigrationReform now: http://OFA.BO/dKtF95 ,pic.twitter.com/C5oxRJryja";;;#ImmigrationReform;"316246201903222789";https://twitter.com/BarackObama/status/316246201903222789
;2013/03/25;8596;3612;"Every American should be able to marry the person they love. #LoveIsLove,pic.twitter.com/pqtLL6QcqE";;;#LoveIsLove;"316234117530394624";https://twitter.com/BarackObama/status/316234117530394624
;2013/03/25;464;291;""The time has come for comprehensive sensible #ImmigrationReform." —President Obama at a naturalization ceremony:pic.twitter.com/1vVB49AxUr";;;#ImmigrationReform;"316218531802910720";https://twitter.com/BarackObama/status/316218531802910720
