username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
johnvanreenen;2016/06/21;0;0;"Could UK become like #NewZealand after #Brexit http://bit.ly/28Jl9Y4  @CEP_LSE Sampson in @NewspixNZHerald";;@CEP_LSE @NewspixNZHerald;#NewZealand #Brexit;"745405939914670081";https://twitter.com/johnvanreenen/status/745405939914670081
ymbaechler;2016/06/21;0;0;"CH:Brexit? "Petits esprits CH" en faveur Brexit dans espoir comme d'habitude d'en "tirer des marrons du feu" en obtenant UE avantages TA22/6";;;;"745405939809918976";https://twitter.com/ymbaechler/status/745405939809918976
angustatchell;2016/06/21;1;2;"The #EUref debate just reached new levels of creativity- #Brexit campaigners called out for what they really are @ #thingsthatarewellbrexit";;@;#EUref #Brexit #thingsthatarewellbrexit;"745402136561913856";https://twitter.com/angustatchell/status/745402136561913856
Julian_trejo;2016/06/21;0;0;"George Soros advierte que un Brexit ocasionará “viernes negro” http://www.callemexico.com/?p=290877 ";;;;"745405938534858752";https://twitter.com/Julian_trejo/status/745405938534858752
callemexico;2016/06/21;0;0;"George Soros advierte que un Brexit ocasionará “viernes negro” http://www.callemexico.com/?p=290877 ";;;;"745405938467639296";https://twitter.com/callemexico/status/745405938467639296
News_at_time;2016/06/21;0;0;"George Soros advierte que un Brexit ocasionará “viernes negro” http://www.callemexico.com/?p=290877 ";;;;"745405938027335680";https://twitter.com/News_at_time/status/745405938027335680
jameelajamil;2016/06/21;148;359;"Vote to stay in the EU. Brexit is a disastrous idea that shouldn't even have been entertained this long. Do it for us, and for our children.";;;;"745271639395434496";https://twitter.com/jameelajamil/status/745271639395434496
V_of_Europe;2016/06/21;468;321;"Sadiq Khan: Staying in the EU is safer. Ehh? #BBCDebate #Brexit pic.twitter.com/lXDBEXq62T";;;#BBCDebate #Brexit;"745332853525848065";https://twitter.com/V_of_Europe/status/745332853525848065
catweevil;2016/06/21;12;4;"The EU Parliament. No opposition. No power. No accountability. No democracy. #voteleave #brexit pic.twitter.com/AWeugweXeI";;;#voteleave #brexit;"745405598074798080";https://twitter.com/catweevil/status/745405598074798080
NetworksManager;2016/06/10;1533;767;"LOOK #welfare line n #Rome folks ALL #Obama #Clinton beloved muslim men 16-40yrs #migrants. #MAGA #DC #brexit #EUrefpic.twitter.com/on08hnZPo9";The White House;;#welfare #Rome #Obama #Clinton #migrants #MAGA #DC #brexit #EUrefpic;"741233689993056256";https://twitter.com/NetworksManager/status/741233689993056256
FatherTyne;2016/06/21;2;1;"There coming home, There coming home 2,000,000 Daily Mail readers are coming home #Brexit pic.twitter.com/e5mUnxLdZB";;;#Brexit;"745405932750921728";https://twitter.com/FatherTyne/status/745405932750921728
TheShowOff85;2016/06/21;3;3;"#BBCDebate Boris was superb, and both Andrea and Gisela calm and put their points over well. Vote #Brexit";;;#BBCDebate #Brexit;"745404200729870336";https://twitter.com/TheShowOff85/status/745404200729870336
Liam_Bywater;2016/06/21;0;0;"As @BorisJohnson mentioned Sir James Dyson, you can see his views here http://poachingparliament.blogspot.co.uk/2016/06/sir-james-dyson-backs-brexit.html … #EUref #BBCDebatepic.twitter.com/HWu8j8EEvv";;@BorisJohnson;#EUref #BBCDebatepic;"745405929160474624";https://twitter.com/Liam_Bywater/status/745405929160474624
SilverDoctors;2016/06/20;2;4;"Martin Armstrong Warns Final Hour of Britain’s Independence Approaching, BREXIT Vote Is “Likely to... http://www.silverdoctors.com/headlines/finance-news/martin-armstrong-warns-final-hour-britain-independence-brexit-vote-is-likely-to-be-fixed/ …";;;;"744928590249099264";https://twitter.com/SilverDoctors/status/744928590249099264
KBeeLondonUk;2016/06/21;1;0;"@Davidbush @GdnPoliticshttp://www.theweek.co.uk/uk-news/60080/eu-hoover-ban-powerful-vacuums-outlawed …";;@Davidbush @GdnPoliticshttp;;"745405924450381824";https://twitter.com/KBeeLondonUk/status/745405924450381824
Rat_des_champs;2016/06/21;0;0;"Brexit : quelle UE sans le Royaume-Uni ? http://fr.euronews.com/2016/06/20/brexit-quelle-ue-sans-le-royaume-uni/#.V2nU9xAC9tN.twitter …";;;#;"745405916116299776";https://twitter.com/Rat_des_champs/status/745405916116299776
shakeri25;2016/06/21;0;1;"@KianpourWorld @timkaine @BBCNews Brexit in US means a new tactic for Wall Street traders to destroy Pajama traders. Time to dive.";;@KianpourWorld @timkaine @BBCNews;;"745405913616551936";https://twitter.com/shakeri25/status/745405913616551936
ukjobadder;2016/06/21;0;0;"Recruitment plans could be thrown into turmoil if UK votes for Brexit on Thursday, the Recruitment & Employme... http://bit.ly/28RiKvz ";;;;"745405912081272832";https://twitter.com/ukjobadder/status/745405912081272832
V_of_Europe;2016/06/21;357;329;"The remain campaign is dirty and is about stereotyping the leave campaign and scaremongering. #Brexit #BBCDebatepic.twitter.com/PvANSCVt2T";;;#Brexit #BBCDebatepic;"745321652372779008";https://twitter.com/V_of_Europe/status/745321652372779008
jamesbooth100;2016/06/21;2;0;"Brexit would damage British science. Stephen Hawking on EU referendum: ‘Britain risks being isolated’ – video http://gu.com/p/4jqyb/stw ";;;;"745400677346709504";https://twitter.com/jamesbooth100/status/745400677346709504
KBeeLondonUk;2016/06/21;1;0;"@Davidbush @GdnPolitics and the EU is now affecting jobs in Malaysia by banning British inventions like Dyson. Virgin jets are American";;@Davidbush @GdnPolitics;;"745405893618110466";https://twitter.com/KBeeLondonUk/status/745405893618110466
