username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
RachelHope34;2016/06/24;0;0;"#Brexit";;;#Brexit;"746493104497229824";https://twitter.com/RachelHope34/status/746493104497229824
LogicalCampaign;2016/06/24;7;9;"NEWSFLASH NOT TO BE REPORTED BY THE CORRUPT MEDIA!! #NotMyVote #LondonStays #BrexitVote #Brexit pic.twitter.com/TmdyoGTbGE";;;#NotMyVote #LondonStays #BrexitVote #Brexit;"746483428963520512";https://twitter.com/LogicalCampaign/status/746483428963520512
YannDiserbeau;2016/06/24;0;0;"JE PEUX PAS FAIRE LES SOLDES SUR ASOS À CAUSE DES FDP D'ANGLAIS DE MERDE QUI ONT VOTÉ POUR LE BREXIT";;;;"746493104207839233";https://twitter.com/YannDiserbeau/status/746493104207839233
tusechir;2016/06/24;0;0;"Brexit: America’s next headache... http://nyc.epeak.in/456_2001600 ";;;;"746493103960432640";https://twitter.com/tusechir/status/746493103960432640
TheMurdochTimes;2016/06/24;12;13;"$2.7 TRILLION lost on global markets after @RupertMurdoch has his #Brexit dreams come true. People will die from impacts of such losses.";Sydney, New South Wales;@RupertMurdoch;#Brexit;"746492431684632576";https://twitter.com/TheMurdochTimes/status/746492431684632576
rogerlsimon;2016/06/24;38;54;"Brexit Vote Has Huge- I mean YUUUGE - Ramifications for US Politics https://pjmedia.com/diaryofamadvoter/2016/06/23/brexit-vote-has-huge-ramifications-for-us-politics/ … #DiaryofaMadVoter via @pjmedia_com";;@pjmedia_com;#DiaryofaMadVoter;"746345324185194496";https://twitter.com/rogerlsimon/status/746345324185194496
realDonaldTrump;2016/06/24;4149;16729;"The opening of Trump Turnberry in Scotland was a big success. Good timing, I was here for BREXIT. Very exciting news conference today!";;;;"746456564337344512";https://twitter.com/realDonaldTrump/status/746456564337344512
leomalbec;2016/06/24;0;1;"@sorrelita "protection!? Protection of what!? #TzeGermans!?" #Brexit #funfactshttps://twitter.com/GermanyDiplo/status/746421465554128897 …";;@sorrelita;#TzeGermans #Brexit #funfactshttps;"746493103255752704";https://twitter.com/leomalbec/status/746493103255752704
billmaher;2016/06/24;15258;24933;"Final #Brexit tally is in: 48% Sense and Sensibility, 52% Pride and Prejudice.";;;#Brexit;"746473002569596929";https://twitter.com/billmaher/status/746473002569596929
Bird1Dr;2016/06/24;0;1;"Not all older people voted to leave, pissed and angry, Brexit con job, time to rebel #AshamedToBeBritish";;;#AshamedToBeBritish;"746493102907588608";https://twitter.com/Bird1Dr/status/746493102907588608
Melvin_I9;2016/06/24;0;0;"Cuál es su opinión Ingeniera? Este approach me parece interesante. Claro es 1 forma d verlo http://www.economist.com/news/leaders/21701265-how-minimise-damage-britains-senseless-self-inflicted-blow-tragic-split?frsc=dg%7Ca … #Brexit @LineasFrescas";;@LineasFrescas;#Brexit;"746493102861365248";https://twitter.com/Melvin_I9/status/746493102861365248
dabeard;2016/06/24;23;19;"#Brexit, Monty Python & Silly Walks. @NewYorkerpic.twitter.com/gqF8YLQnzX";;@NewYorkerpic;#Brexit;"746490590628544512";https://twitter.com/dabeard/status/746490590628544512
DNP_News;2016/06/24;0;0;"(Complex) Texans Inspired by Brexit Are Trying to Make "Texit" Happen http://bit.ly/28Tnxvf ";;;;"746493102467145729";https://twitter.com/DNP_News/status/746493102467145729
imbadatlife;2016/06/24;22631;25327;"Brexit in a single gif. pic.twitter.com/HBQKT6FwLI";;;;"746250023415930880";https://twitter.com/imbadatlife/status/746250023415930880
canadanews5;2016/06/24;0;0;"What happens next? Brexit referendum puts Britain and EU on an uncertain course http://natpo.st/28U0RNH pic.twitter.com/IamjVCv9Ym";;;;"746493101875793920";https://twitter.com/canadanews5/status/746493101875793920
